Country,Year,Lung Cancer Per Capita,Emissions Per Capita,Smokers Per Capita
Afghanistan,2000,7.1262949738172e-05,5.358076878953274e-08,0.0628831874275891
Afghanistan,2001,7.367066315221902e-05,5.430026829695431e-08,0.06475284824257978
Afghanistan,2002,7.219972618429033e-05,6.385612632531717e-08,0.0633242280475057
Afghanistan,2003,7.025833020168134e-05,6.887140855451039e-08,0.061383882538983
Afghanistan,2004,7.079984652844916e-05,5.2529106969900206e-08,0.061539552995639596
Afghanistan,2005,7.131806145796e-05,7.740331063732204e-08,0.06162882425523605
Afghanistan,2006,7.091111779360125e-05,8.48690308794454e-08,0.06106781510818874
Afghanistan,2007,7.18177619138194e-05,1.0809081823200835e-07,0.06175626033145351
Afghanistan,2008,7.255683086202212e-05,1.609885709037874e-07,0.06221790663475157
Afghanistan,2009,7.209774621113432e-05,2.3340574564309247e-07,0.061783386251612955
Afghanistan,2010,7.243411232312317e-05,2.9673289565057726e-07,0.06185329151754586
Afghanistan,2011,7.23188843015202e-05,4.047404169631282e-07,0.06155079956663367
Afghanistan,2012,7.231399683566978e-05,3.2938870290853105e-07,0.06113932627396819
Albania,2000,0.0002479568085031306,9.79248805530026e-07,0.14926318222534152
Albania,2001,0.00025610479626478637,1.0524424599524276e-06,0.14897098954863008
Albania,2002,0.000264796688539205,1.228534813061904e-06,0.14770059750705505
Albania,2003,0.0002722426226865499,1.41580350939066e-06,0.14297463890175602
Albania,2004,0.00027804043226507043,1.3798375190249953e-06,0.13969888392200833
Albania,2005,0.0002826200599238848,1.4150527629705856e-06,0.1416519480243481
Albania,2006,0.00028772753283407075,1.3068182387778706e-06,0.14497750578353488
Albania,2007,0.00029220451906504237,1.3296119180462605e-06,0.14943685507524032
Albania,2008,0.00030070949230384,1.491881421524819e-06,0.15464826618405775
Albania,2009,0.00030846028572316695,1.5052172163528229e-06,0.1603241516109716
Albania,2010,0.0003122907453808263,1.6422349856042918e-06,0.16535342518986304
Albania,2011,0.0003156596310746783,1.8293698013386366e-06,0.17037789201757542
Albania,2012,0.00032008054855173473,1.6722032574116475e-06,0.1755067661333726
Algeria,2000,4.317445641328938e-05,2.6717147873242698e-06,0.10710516954863554
Algeria,2001,4.1843174534393705e-05,2.6851781442156394e-06,0.10717902014952413
Algeria,2002,4.275727991187647e-05,2.8271238717994317e-06,0.10684017326206076
Algeria,2003,4.3562202451263e-05,2.8403024805150433e-06,0.10287322298998908
Algeria,2004,4.4718710898793386e-05,2.70233332408495e-06,0.09860764869201302
Algeria,2005,4.6755393123520596e-05,3.2306896111229616e-06,0.09452014143410639
Algeria,2006,4.615165655353599e-05,2.996937856885642e-06,0.09126731564572299
Algeria,2007,4.612552782828138e-05,3.1898098469015864e-06,0.08826207242639271
Algeria,2008,4.622433125620921e-05,3.1539850976546093e-06,0.08568602718828733
Algeria,2009,4.64238860471706e-05,3.4147267489234655e-06,0.08366032800795158
Algeria,2010,4.6536126410433814e-05,3.2856949944478445e-06,0.08222054094527875
Algeria,2011,4.720878764868462e-05,3.278487380300666e-06,0.08287894158915798
Algeria,2012,4.8074265759215715e-05,3.641230380764778e-06,0.08381786931131449
Andorra,2000,0.00032781281102016734,7.92701635475135e-06,0.23512413573989743
Andorra,2001,0.00032090057298731937,7.725626658802713e-06,0.2282365084046004
Andorra,2002,0.00031030766362263407,7.498764979039929e-06,0.2190009739022428
Andorra,2003,0.00031419609401003965,7.23806946567984e-06,0.2158388244685889
Andorra,2004,0.0003284524939882755,7.286756008474907e-06,0.21751394070164948
Andorra,2005,0.00033263910355022175,7.206273645178262e-06,0.2144789918071806
Andorra,2006,0.0003419780015207988,6.805400082272721e-06,0.21592849752558557
Andorra,2007,0.0003646362035615597,6.890389929382868e-06,0.2248490430866851
Andorra,2008,0.00038519621970942077,7.081822365393465e-06,0.23293669055288935
Andorra,2009,0.0004071367466013107,6.995396197801007e-06,0.2403590965715214
Andorra,2010,0.00042781799521805395,7.223590933877711e-06,0.2477383632321481
Andorra,2011,0.00044364439667266567,6.95758640724418e-06,0.25062706364164555
Andorra,2012,0.00045109957444411586,6.8622928196245765e-06,0.2500528072324786
Angola,2000,2.8262452886905025e-05,5.804579731368589e-07,0.03953108143668116
Angola,2001,2.794946167676027e-05,5.708401462035404e-07,0.03955030895275632
Angola,2002,2.7664115385245573e-05,7.192295060001522e-07,0.039565511554800974
Angola,2003,2.7889612759459072e-05,4.959611775147478e-07,0.03958836133195898
Angola,2004,2.7851186830837257e-05,9.962435922194328e-07,0.03956156064167704
Angola,2005,2.7682875558989145e-05,9.771235958083096e-07,0.039439494988396204
Angola,2006,2.7886183930039866e-05,1.0961847682362265e-06,0.03923572363128486
Angola,2007,2.7914485426943807e-05,1.194531251643975e-06,0.0389704598118269
Angola,2008,2.8182305409459054e-05,1.1749413895438043e-06,0.03869613206486848
Angola,2009,2.8306688443239404e-05,1.224692209421551e-06,0.0384614598558696
Angola,2010,2.8355872220665944e-05,1.2354166430371955e-06,0.03824413306092209
Angola,2011,2.8636271366250805e-05,1.2502412804822073e-06,0.03804863253232981
Angola,2012,2.8964166804164413e-05,1.0139626378795356e-06,0.03788331499412505
Antigua and Barbuda,2000,7.523239861434948e-05,3.9054027046832324e-06,0.026327359936046898
Antigua and Barbuda,2001,7.354405577642197e-05,3.894036606967132e-06,0.026215311946467233
Antigua and Barbuda,2002,7.211970485135047e-05,4.271779260314787e-06,0.02608977265366928
Antigua and Barbuda,2003,7.235873373038744e-05,4.505206532180596e-06,0.025975024015369837
Antigua and Barbuda,2004,7.150815307634815e-05,4.6414410762468174e-06,0.025829416906297108
Antigua and Barbuda,2005,7.146337510172907e-05,4.6792622920031555e-06,0.02569207076587913
Antigua and Barbuda,2006,7.235156196303851e-05,4.755794548488782e-06,0.02546510909203288
Antigua and Barbuda,2007,7.093909800526727e-05,4.958837300039017e-06,0.02522678501755755
Antigua and Barbuda,2008,7.120055550083483e-05,5.0173091013921755e-06,0.025080779810452727
Antigua and Barbuda,2009,7.136740803700286e-05,5.24456431731611e-06,0.025090496131733978
Antigua and Barbuda,2010,7.201682314020655e-05,5.3017795670692575e-06,0.025170663399264836
Antigua and Barbuda,2011,7.253326497480659e-05,5.111831106089082e-06,0.025331780603950235
Antigua and Barbuda,2012,7.311964948559436e-05,5.2238976207313455e-06,0.0255035700435705
Argentina,2000,0.0002578402031206578,3.840177359123929e-06,0.17037270384481318
Argentina,2001,0.0002557767462130234,3.575298329186865e-06,0.17018223319527842
Argentina,2002,0.0002565421839202547,3.2834170796970243e-06,0.170538504023278
Argentina,2003,0.0002577663148368349,3.5171751706795554e-06,0.17059799419846783
Argentina,2004,0.00025660630509416433,4.061243360150133e-06,0.17012166605859672
Argentina,2005,0.0002548351001949015,4.1318692074104705e-06,0.16888414100448826
Argentina,2006,0.0002552748769145746,4.423072954831175e-06,0.16576722393587068
Argentina,2007,0.00025807092446903865,4.3696778755581254e-06,0.1624572667078793
Argentina,2008,0.00025805589315467347,4.670682796040271e-06,0.15932827146125808
Argentina,2009,0.0002577958016669707,4.398478844610916e-06,0.15603574525410738
Argentina,2010,0.0002585624228013747,4.578088215309367e-06,0.15245312196567004
Argentina,2011,0.0002579681916479506,4.611413063367319e-06,0.14748068962124247
Argentina,2012,0.0002577807025957778,4.583683675310282e-06,0.14347533410453256
Armenia,2000,0.0003042054229368068,1.1019036314396329e-06,0.1918385948279372
Armenia,2001,0.00031467546417595423,1.1275298558982335e-06,0.19324586603888186
Armenia,2002,0.00031836304681715546,9.90903812096281e-07,0.1952981558673858
Armenia,2003,0.00032808154302289616,1.1204428387906757e-06,0.19775189017743253
Armenia,2004,0.0003435280811026358,1.2040130539232715e-06,0.2003999027968732
Armenia,2005,0.0003681901917337819,1.436106241504624e-06,0.20313030191851922
Armenia,2006,0.0003920591141013043,1.4543566367067283e-06,0.20491024904790572
Armenia,2007,0.0003905660674219385,1.6975841709123938e-06,0.20645800998737515
Armenia,2008,0.00040812189898777274,1.8685897833393276e-06,0.20786707608480331
Armenia,2009,0.0004114050428837066,1.4719623141548617e-06,0.20943421304754992
Armenia,2010,0.0004046102241019478,1.443423990757199e-06,0.21128821878883058
Armenia,2011,0.0004036872019436144,1.6964556896335102e-06,0.2140167758288221
Armenia,2012,0.0003967288106282517,1.972347852283524e-06,0.2165390655639662
Australia,2000,0.00036134872473842547,1.8374014664717202e-05,0.17081858332437322
Australia,2001,0.00036163619030977443,1.852855548835751e-05,0.16720098537455913
Australia,2002,0.0003633422025718112,1.8545109798765955e-05,0.1639791005072528
Australia,2003,0.00036157314947205064,1.8725441751999433e-05,0.16057406982304973
Australia,2004,0.0003636691322439555,1.9205650387337966e-05,0.1569889451124638
Australia,2005,0.00036291072226161833,1.9138450641735644e-05,0.15301064923731383
Australia,2006,0.0003648145868513008,1.9186590110217777e-05,0.14886944704714683
Australia,2007,0.00036554313550534,1.9187250613632224e-05,0.14433731320839222
Australia,2008,0.000365303849288625,1.9023449636854548e-05,0.14064337201604635
Australia,2009,0.00036134545546160084,1.87659748660003e-05,0.13736431243852185
Australia,2010,0.0003630067915167883,1.8387251126215575e-05,0.1336294665652978
Australia,2011,0.00036384585276184124,1.8076469971563146e-05,0.13152662682904906
Australia,2012,0.0003618375825682534,1.7865772331670514e-05,0.13026008133823858
Austria,2000,0.00041502064764866196,8.25678525272088e-06,0.25224831200292175
Austria,2001,0.0004128881310342709,8.722575514222125e-06,0.2584936907919172
Austria,2002,0.00041863847085551185,8.902993668488958e-06,0.26305435676037375
Austria,2003,0.0004220863225570199,9.537858451653115e-06,0.26302582687787596
Austria,2004,0.00042282752546939133,9.505459885662766e-06,0.2609323142068873
Austria,2005,0.0004255259391025263,9.611053657046107e-06,0.25639898447087317
Austria,2006,0.00042850980215491274,9.288886166420819e-06,0.25166771661751913
Austria,2007,0.0004334733984876355,8.933385104454989e-06,0.2491781374619718
Austria,2008,0.00043966187498017186,8.83037244745416e-06,0.24809998106109768
Austria,2009,0.0004469784503129029,8.066169199010993e-06,0.24916247399267655
Austria,2010,0.00044956160218973044,8.609701384747167e-06,0.24967178435957416
Austria,2011,0.0004528059402670014,8.328894949415747e-06,0.24990207519552488
Austria,2012,0.0004560121485301704,7.979357273335168e-06,0.2501834224971296
Azerbaijan,2000,0.0001173581338493651,3.666018934970057e-06,0.1408642496831747
Azerbaijan,2001,0.00011778469887316303,3.549575525199724e-06,0.14258432784298256
Azerbaijan,2002,0.00011985836768457956,3.627133181186865e-06,0.14500614908314416
Azerbaijan,2003,0.00012434142626395112,3.7191151431243246e-06,0.14798362905478438
Azerbaijan,2004,0.00012537649310780715,3.861681935833384e-06,0.15112297598266416
Azerbaijan,2005,0.00012650875504209441,4.085680749775079e-06,0.15458843997449906
Azerbaijan,2006,0.00013027300198596272,4.609387887395324e-06,0.15853663423516862
Azerbaijan,2007,0.00013391307063032406,3.5494712922284504e-06,0.16263689650752217
Azerbaijan,2008,0.0001394342216491316,4.045205171508775e-06,0.16491784010772076
Azerbaijan,2009,0.00014177726468365728,3.5604710858976335e-06,0.16696361102520632
Azerbaijan,2010,0.00014694916720526705,3.3832300383948812e-06,0.17008642934674806
Azerbaijan,2011,0.00014716524522510535,3.594832794474093e-06,0.17247093179805872
Azerbaijan,2012,0.00014987313571399678,3.525613654534141e-06,0.1745080350404011
Bahrain,2000,8.025471488891575e-05,2.641688851656214e-05,0.08150348166118952
Bahrain,2001,7.978468420021993e-05,1.9277921334543867e-05,0.0806784460813111
Bahrain,2002,7.936925874353889e-05,2.1204736183792047e-05,0.08583848707244456
Bahrain,2003,7.715716953033449e-05,2.1547525492896937e-05,0.09250169609999795
Bahrain,2004,7.474169572056426e-05,2.1457176246713965e-05,0.09958593846548867
Bahrain,2005,7.165649144437262e-05,2.1957635979204385e-05,0.10841082533836112
Bahrain,2006,6.837414001921768e-05,2.000157572599258e-05,0.12039061526435636
Bahrain,2007,6.596722773542766e-05,2.5728304367381303e-05,0.13421211457216117
Bahrain,2008,6.43534363795692e-05,2.6731665800567933e-05,0.14415365342060968
Bahrain,2009,6.250047670403145e-05,2.3822967935136034e-05,0.1507817606975437
Bahrain,2010,6.23595083900152e-05,2.3957116784562206e-05,0.15716045466343123
Bahrain,2011,6.401533220249208e-05,2.3486664626092234e-05,0.16324375431593868
Bahrain,2012,6.427407270076307e-05,2.2139051005805187e-05,0.1634032388551593
Bangladesh,2000,9.36719886469059e-05,2.0530945069631963e-07,0.14718170389713703
Bangladesh,2001,8.84713140418015e-05,2.357013360716438e-07,0.1486669783943378
Bangladesh,2002,8.606887726244701e-05,2.384172095168813e-07,0.1504435677440047
Bangladesh,2003,8.461158377481625e-05,2.451172831794148e-07,0.15390739613837348
Bangladesh,2004,8.736908304991598e-05,2.5899187421835444e-07,0.15585132833140206
Bangladesh,2005,9.104369652136831e-05,2.6737554820332237e-07,0.15637812064912013
Bangladesh,2006,9.384080242514222e-05,2.922913110042948e-07,0.15656552636261878
Bangladesh,2007,9.826460790825416e-05,2.958466137944477e-07,0.15638139896467457
Bangladesh,2008,9.940910210977457e-05,3.1151465701885603e-07,0.1560509649623723
Bangladesh,2009,0.00010209659074449237,3.3500879747845377e-07,0.15588486996615902
Bangladesh,2010,0.00010652308235197251,3.638462064773288e-07,0.15637232894344183
Bangladesh,2011,0.00011147184275879121,3.765126529843802e-07,0.15702005322446247
Bangladesh,2012,0.00011923767627554802,3.99155427366215e-07,0.1578909825021524
Barbados,2000,0.00011408806001730541,4.351262199752888e-06,0.050899843948960355
Barbados,2001,0.00011224833994656658,4.469965370020763e-06,0.05074667360019896
Barbados,2002,0.00010989788200634252,4.501953425531516e-06,0.050631438704471676
Barbados,2003,0.00011120744556054414,4.6552174026818795e-06,0.05055719834466671
Barbados,2004,0.00011174444170499618,4.728105621869239e-06,0.050438539319565746
Barbados,2005,0.00011494156814867316,4.895230390719802e-06,0.05028629530535073
Barbados,2006,0.00011601221107515948,4.96551724137931e-06,0.050143292964777667
Barbados,2007,0.00011629722605767672,5.020497782231326e-06,0.050013999204255755
Barbados,2008,0.00011653715817851706,5.913635446659453e-06,0.04994223045463715
Barbados,2009,0.00011880896935984018,5.833456906910746e-06,0.04999068632643148
Barbados,2010,0.00012054443436920983,5.329266028662849e-06,0.050045320354845636
Barbados,2011,0.00012302752560928686,5.504914950306005e-06,0.05010054957420704
Barbados,2012,0.00012585820638891804,5.28289228340641e-06,0.0500620933608982
Belarus,2000,0.000433147960792055,5.501816503851353e-06,0.23251048888684026
Belarus,2001,0.00043531162106366194,5.4391614524942165e-06,0.22874158147378837
Belarus,2002,0.00043372774406449596,5.4577954514032065e-06,0.22445656338603795
Belarus,2003,0.0004219122549735632,5.623088536819714e-06,0.22035013860210156
Belarus,2004,0.0004188875664352827,5.986912323823302e-06,0.21722397587867642
Belarus,2005,0.0004159618333770527,6.1372937365446615e-06,0.21509046799356163
Belarus,2006,0.0004029605992717902,6.428326450058324e-06,0.21378014026971998
Belarus,2007,0.0003861475054840244,6.298340866229549e-06,0.21336115761681915
Belarus,2008,0.00038400806466424957,6.5949314571758875e-06,0.2142169619284665
Belarus,2009,0.0003831173043572769,6.373530011784841e-06,0.2152941375755254
Belarus,2010,0.00038616917753533486,6.584373664833513e-06,0.21749469307567107
Belarus,2011,0.00038389409598311834,6.479592286455957e-06,0.2238116572354294
Belarus,2012,0.0003583360959161353,6.6207631846260485e-06,0.23023454625442846
Belgium,2000,0.0006606983492744787,1.2361373978783075e-05,0.22447008901353493
Belgium,2001,0.0006625307356096348,1.2255182825762134e-05,0.21664889268240045
Belgium,2002,0.000661756451818169,1.2277474272425101e-05,0.21342155091778256
Belgium,2003,0.0006476715263769268,1.2359675806005957e-05,0.20977844058089848
Belgium,2004,0.000644030108998663,1.235747011098693e-05,0.20736758378668277
Belgium,2005,0.0006427141780255925,1.198978729731223e-05,0.20732869614377547
Belgium,2006,0.0006382597465784373,1.1744494811223177e-05,0.20891674009320096
Belgium,2007,0.0006437895885447547,1.1338264961367251e-05,0.21105715388162663
Belgium,2008,0.0006508311393502112,1.122090587903443e-05,0.21339512247136383
Belgium,2009,0.0006550527192487412,9.978458467948804e-06,0.21594058366915997
Belgium,2010,0.0006560949904851378,1.051415352969542e-05,0.2156757791641496
