Country,Year,Code,Lung Cancer Per Capita,Emissions Per Capita
Afghanistan,1990,AFG,7.454707035085102e-05,1.8928140377806177e-07
Afghanistan,1991,AFG,7.939628691671335e-05,1.7815460662454105e-07
Afghanistan,1992,AFG,7.694945072471064e-05,1.2291621276269998e-07
Afghanistan,1993,AFG,7.269224122664199e-05,1.061816969156855e-07
Afghanistan,1994,AFG,7.188335753714441e-05,9.406514356812163e-08
Afghanistan,1995,AFG,7.282765520638639e-05,8.632283308418974e-08
Afghanistan,1996,AFG,7.272324550853049e-05,8.009215159416588e-08
Afghanistan,1997,AFG,7.190259870540028e-05,7.331301757581546e-08
Afghanistan,1998,AFG,7.076646881663961e-05,6.913398985093494e-08
Afghanistan,1999,AFG,6.981890480675053e-05,5.6670750694328827e-08
Afghanistan,2000,AFG,7.1262949738172e-05,5.358076878953274e-08
Afghanistan,2001,AFG,7.367066315221902e-05,5.430026829695431e-08
Afghanistan,2002,AFG,7.219972618429033e-05,6.385612632531717e-08
Afghanistan,2003,AFG,7.025833020168134e-05,6.887140855451039e-08
Afghanistan,2004,AFG,7.079984652844916e-05,5.2529106969900206e-08
Afghanistan,2005,AFG,7.131806145796e-05,7.740331063732204e-08
Afghanistan,2006,AFG,7.091111779360125e-05,8.48690308794454e-08
Afghanistan,2007,AFG,7.18177619138194e-05,1.0809081823200835e-07
Afghanistan,2008,AFG,7.255683086202212e-05,1.609885709037874e-07
Afghanistan,2009,AFG,7.209774621113432e-05,2.3340574564309247e-07
Afghanistan,2010,AFG,7.243411232312317e-05,2.9673289565057726e-07
Afghanistan,2011,AFG,7.23188843015202e-05,4.047404169631282e-07
Afghanistan,2012,AFG,7.231399683566978e-05,3.2938870290853105e-07
Albania,1990,ALB,0.00017230331868571893,1.6797600639212888e-06
Albania,1991,ALB,0.0001766499245436652,1.3132849065902613e-06
Albania,1992,ALB,0.00017849364999927627,7.752035007894886e-07
Albania,1993,ALB,0.00018093895674602226,7.244471904729886e-07
Albania,1994,ALB,0.0001850569906931676,5.99776900399559e-07
Albania,1995,ALB,0.00019282688657700772,6.553345521528436e-07
Albania,1996,ALB,0.0002004046829057652,6.368330127874299e-07
Albania,1997,ALB,0.00021152757434930361,4.901115878792268e-07
Albania,1998,ALB,0.00022345616909538984,5.608733175005513e-07
Albania,1999,ALB,0.00023496516238856555,9.605690724779962e-07
Albania,2000,ALB,0.0002479568085031306,9.79248805530026e-07
Albania,2001,ALB,0.00025610479626478637,1.0524424599524276e-06
Albania,2002,ALB,0.000264796688539205,1.228534813061904e-06
Albania,2003,ALB,0.0002722426226865499,1.41580350939066e-06
Albania,2004,ALB,0.00027804043226507043,1.3798375190249953e-06
Albania,2005,ALB,0.0002826200599238848,1.4150527629705856e-06
Albania,2006,ALB,0.00028772753283407075,1.3068182387778706e-06
Albania,2007,ALB,0.00029220451906504237,1.3296119180462605e-06
Albania,2008,ALB,0.00030070949230384,1.491881421524819e-06
Albania,2009,ALB,0.00030846028572316695,1.5052172163528229e-06
Albania,2010,ALB,0.0003122907453808263,1.6422349856042918e-06
Albania,2011,ALB,0.0003156596310746783,1.8293698013386366e-06
Albania,2012,ALB,0.00032008054855173473,1.6722032574116475e-06
Algeria,1990,DZA,5.2788452294636345e-05,3.007187297912844e-06
Algeria,1991,DZA,5.522496094632624e-05,3.015501663452132e-06
Algeria,1992,DZA,5.329531877218528e-05,2.986481235837653e-06
Algeria,1993,DZA,5.233476418557108e-05,2.9956492806421448e-06
Algeria,1994,DZA,5.167681214658435e-05,3.083633085091509e-06
Algeria,1995,DZA,5.171072106061299e-05,3.3352533051628374e-06
Algeria,1996,DZA,4.87528764034074e-05,3.339227157396571e-06
Algeria,1997,DZA,4.63777774219331e-05,2.9517103574765545e-06
Algeria,1998,DZA,4.436873889461363e-05,3.562980548355624e-06
Algeria,1999,DZA,4.350856339515054e-05,3.0207592854735155e-06
Algeria,2000,DZA,4.317445641328938e-05,2.6717147873242698e-06
Algeria,2001,DZA,4.1843174534393705e-05,2.6851781442156394e-06
Algeria,2002,DZA,4.275727991187647e-05,2.8271238717994317e-06
Algeria,2003,DZA,4.3562202451263e-05,2.8403024805150433e-06
Algeria,2004,DZA,4.4718710898793386e-05,2.70233332408495e-06
Algeria,2005,DZA,4.6755393123520596e-05,3.2306896111229616e-06
Algeria,2006,DZA,4.615165655353599e-05,2.996937856885642e-06
Algeria,2007,DZA,4.612552782828138e-05,3.1898098469015864e-06
Algeria,2008,DZA,4.622433125620921e-05,3.1539850976546093e-06
Algeria,2009,DZA,4.64238860471706e-05,3.4147267489234655e-06
Algeria,2010,DZA,4.6536126410433814e-05,3.2856949944478445e-06
Algeria,2011,DZA,4.720878764868462e-05,3.278487380300666e-06
Algeria,2012,DZA,4.8074265759215715e-05,3.641230380764778e-06
Andorra,1990,AND,0.00033709164330116297,7.592152177565383e-06
Andorra,1991,AND,0.00035040243334415704,7.33672475376123e-06
Andorra,1992,AND,0.0003606633966447288,7.099907476912871e-06
Andorra,1993,AND,0.00036194770369869496,6.9370478058016094e-06
Andorra,1994,AND,0.0003554460956469027,6.663237052935105e-06
Andorra,1995,AND,0.0003396324771167048,6.754131706076786e-06
Andorra,1996,AND,0.00033261258141456345,7.082731850281385e-06
Andorra,1997,AND,0.00033155909789431374,7.194087999752637e-06
Andorra,1998,AND,0.0003316392575092811,7.5319240327677725e-06
Andorra,1999,AND,0.00032972420942807096,7.812961693701926e-06
Andorra,2000,AND,0.00032781281102016734,7.92701635475135e-06
Andorra,2001,AND,0.00032090057298731937,7.725626658802713e-06
Andorra,2002,AND,0.00031030766362263407,7.498764979039929e-06
Andorra,2003,AND,0.00031419609401003965,7.23806946567984e-06
Andorra,2004,AND,0.0003284524939882755,7.286756008474907e-06
Andorra,2005,AND,0.00033263910355022175,7.206273645178262e-06
Andorra,2006,AND,0.0003419780015207988,6.805400082272721e-06
Andorra,2007,AND,0.0003646362035615597,6.890389929382868e-06
Andorra,2008,AND,0.00038519621970942077,7.081822365393465e-06
Andorra,2009,AND,0.0004071367466013107,6.995396197801007e-06
Andorra,2010,AND,0.00042781799521805395,7.223590933877711e-06
Andorra,2011,AND,0.00044364439667266567,6.95758640724418e-06
Andorra,2012,AND,0.00045109957444411586,6.8622928196245765e-06
Angola,1990,AGO,3.3230652785215e-05,4.3030009034007133e-07
Angola,1991,AGO,3.2372331797409874e-05,4.1411251621289635e-07
Angola,1992,AGO,3.179326108428042e-05,4.088221759940446e-07
Angola,1993,AGO,3.166922484348e-05,4.408858690608494e-07
Angola,1994,AGO,3.165971812871327e-05,2.870681994418227e-07
Angola,1995,AGO,3.135055761277487e-05,7.869974043744029e-07
Angola,1996,AGO,3.0069433101468016e-05,7.247263676403619e-07
Angola,1997,AGO,2.9106748847735068e-05,4.940886196665677e-07
Angola,1998,AGO,2.9559634340487428e-05,4.7299305831040087e-07
Angola,1999,AGO,2.878958125049265e-05,5.752868184641271e-07
Angola,2000,AGO,2.8262452886905025e-05,5.804579731368589e-07
Angola,2001,AGO,2.794946167676027e-05,5.708401462035404e-07
Angola,2002,AGO,2.7664115385245573e-05,7.192295060001522e-07
Angola,2003,AGO,2.7889612759459072e-05,4.959611775147478e-07
Angola,2004,AGO,2.7851186830837257e-05,9.962435922194328e-07
Angola,2005,AGO,2.7682875558989145e-05,9.771235958083096e-07
Angola,2006,AGO,2.7886183930039866e-05,1.0961847682362265e-06
Angola,2007,AGO,2.7914485426943807e-05,1.194531251643975e-06
Angola,2008,AGO,2.8182305409459054e-05,1.1749413895438043e-06
Angola,2009,AGO,2.8306688443239404e-05,1.224692209421551e-06
Angola,2010,AGO,2.8355872220665944e-05,1.2354166430371955e-06
Angola,2011,AGO,2.8636271366250805e-05,1.2502412804822073e-06
Angola,2012,AGO,2.8964166804164413e-05,1.0139626378795356e-06
Antigua and Barbuda,1990,ATG,7.915078881379485e-05,3.4714502273875698e-06
Antigua and Barbuda,1991,ATG,7.912563676650847e-05,3.3395983279378947e-06
Antigua and Barbuda,1992,ATG,7.932331387741847e-05,3.2299911845218763e-06
Antigua and Barbuda,1993,ATG,7.752282941944891e-05,3.2836528237688735e-06
Antigua and Barbuda,1994,ATG,7.681360189050572e-05,3.223043893129771e-06
Antigua and Barbuda,1995,ATG,7.765848426854587e-05,3.2676978859030967e-06
Antigua and Barbuda,1996,ATG,7.657474062294049e-05,3.4121321527837474e-06
Antigua and Barbuda,1997,ATG,7.50062448117049e-05,3.601336740711618e-06
Antigua and Barbuda,1998,ATG,7.333479013944771e-05,3.73609656616877e-06
Antigua and Barbuda,1999,ATG,7.330520941195595e-05,3.821785128892862e-06
Antigua and Barbuda,2000,ATG,7.523239861434948e-05,3.9054027046832324e-06
Antigua and Barbuda,2001,ATG,7.354405577642197e-05,3.894036606967132e-06
Antigua and Barbuda,2002,ATG,7.211970485135047e-05,4.271779260314787e-06
Antigua and Barbuda,2003,ATG,7.235873373038744e-05,4.505206532180596e-06
Antigua and Barbuda,2004,ATG,7.150815307634815e-05,4.6414410762468174e-06
Antigua and Barbuda,2005,ATG,7.146337510172907e-05,4.6792622920031555e-06
Antigua and Barbuda,2006,ATG,7.235156196303851e-05,4.755794548488782e-06
Antigua and Barbuda,2007,ATG,7.093909800526727e-05,4.958837300039017e-06
Antigua and Barbuda,2008,ATG,7.120055550083483e-05,5.0173091013921755e-06
Antigua and Barbuda,2009,ATG,7.136740803700286e-05,5.24456431731611e-06
Antigua and Barbuda,2010,ATG,7.201682314020655e-05,5.3017795670692575e-06
Antigua and Barbuda,2011,ATG,7.253326497480659e-05,5.111831106089082e-06
Antigua and Barbuda,2012,ATG,7.311964948559436e-05,5.2238976207313455e-06
Argentina,1990,ARG,0.0002646567059332721,3.434042094381959e-06
Argentina,1991,ARG,0.00026415169080984483,3.5494044949213227e-06
Argentina,1992,ARG,0.00026303241246909096,3.611461949873221e-06
Argentina,1993,ARG,0.0002611996771704082,3.46127058791721e-06
Argentina,1994,ARG,0.0002616310946635964,3.54403083259512e-06
Argentina,1995,ARG,0.00026387885919205317,3.6560538211549152e-06
Argentina,1996,ARG,0.00026445054115414683,3.80798246659547e-06
Argentina,1997,ARG,0.00026296208347946227,3.8430191938674515e-06
Argentina,1998,ARG,0.0002624726693022793,3.84873307473989e-06
