Country,Code,Emissions Per Capita
Afghanistan,AFG,2.0600996007040955e-07
Albania,ALB,1.0309987794501559e-05
Algeria,DZA,7.96266226043326e-06
Andorra,AND,1.860504583553499e-05
Angola,AGO,2.440982443714082e-06
Anguilla,AIA,2.3299304006964027e-05
Antigua and Barbuda,ATG,1.3989549408297141e-05
Argentina,ARG,7.875227822765026e-06
Armenia,ARM,1.6747213215234522e-06
Aruba,ABW,4.5355841694182216e-05
Australia,AUS,0.00020190648291745888
Austria,AUT,5.022744855698991e-05
Azerbaijan,AZE,5.482870141084502e-06
Bahamas,BHS,6.442663682245048e-05
Bahrain,BHR,5.0734011945387997e-05
Bangladesh,BGD,3.7832298241749797e-07
Barbados,BRB,8.90448044681215e-06
Belarus,BLR,6.310595639867461e-06
Belgium,BEL,1.8383019657004682e-05
Belize,BLZ,1.5702082589371821e-06
Benin,BEN,2.1012992801700826e-06
Bermuda,BMU,3.42395159693561e-05
Bhutan,BTN,1.2878836305392622e-06
Bosnia and Herzegovina,BIH,5.366781892948097e-06
Botswana,BWA,2.5291153491361535e-06
Brazil,BRA,3.242735322823859e-06
British Virgin Islands,VGB,1.3270159903059743e-05
Brunei Darussalam,BRN,2.8787343514162537e-05
Bulgaria,BGR,4.572732349416101e-05
Burkina Faso,BFA,2.4617188403672713e-07
Burundi,BDI,6.969310690225117e-08
Cambodia,KHM,9.326509976547413e-07
Cameroon,CMR,2.341469621612493e-06
Canada,CAN,3.300366416423259e-05
Central African Republic,CAF,7.058637388275962e-08
Chad,TCD,1.332656110156071e-07
Chile,CHL,4.193998792519423e-06
China,CHN,1.2952354965431657e-05
Colombia,COL,1.6391490645783293e-06
Comoros,COM,6.812561080318928e-07
Congo,COG,2.8633225462550865e-06
Cook Islands,COK,2.509656887025815e-05
Costa Rica,CRI,2.330012548144152e-06
Croatia,HRV,4.765603456394567e-06
Cuba,CUB,2.3480830640908515e-06
Curaçao,CUW,0.0001199993555649328
Cyprus,CYP,1.0412325983787694e-05
Côte d'Ivoire,CIV,5.4237136063192e-07
Democratic Republic of the Congo,COD,4.956665585952813e-08
Denmark,DNK,1.6256520112146682e-05
Djibouti,DJI,2.8109490593889468e-06
Dominica,DMA,4.767212265870608e-06
Dominican Republic,DOM,2.2250748860659142e-06
Ecuador,ECU,5.793480586812674e-06
Egypt,EGY,5.69041591407436e-06
El Salvador,SLV,2.505688255895263e-06
Equatorial Guinea,GNQ,1.5932527160541635e-05
Eritrea,ERI,3.658756431273074e-07
Estonia,EST,3.431271842794845e-05
Ethiopia,ETH,2.205000135223422e-07
Fiji,FJI,2.6547610284150746e-06
Finland,FIN,2.0101943552472465e-05
France,FRA,1.0470800585711692e-05
French Guiana,GUF,4.043228598027355e-06
French Polynesia,PYF,4.445581991744639e-06
Gabon,GAB,9.235399972670407e-06
Gambia,GMB,1.8922888288373789e-06
Georgia,GEO,5.619033559436846e-06
Germany,DEU,1.8799159115050943e-05
Ghana,GHA,7.035700718452913e-07
Greece,GRC,6.599263646556467e-05
Greenland,GRL,1.4968764509548912e-05
Grenada,GRD,1.3013156086878164e-05
Guadeloupe,GLP,1.1638178339424243e-05
Guatemala,GTM,1.5871653444810828e-06
Guinea,GIN,4.1303178127234644e-07
Guinea-Bissau,GNB,2.2654671488813527e-07
Guyana,GUY,3.799148148955973e-06
Haiti,HTI,5.958611498696896e-07
Honduras,HND,2.401879011596701e-06
Hungary,HUN,1.4328435865396773e-05
Iceland,ISL,1.965385441937436e-05
