Country,Code,Lung Cancer Per Capita
Afghanistan,AFG,6.9662340651079e-05
Albania,ALB,0.0004538624799865971
Algeria,DZA,0.00012525454101480052
American Samoa,ASM,0.00020841529632259617
Andorra,AND,0.0011532348899621482
Angola,AGO,7.769851603708466e-05
Antigua and Barbuda,ATG,0.00023203008008492647
Argentina,ARG,0.0004030686349308438
Armenia,ARM,0.0003839368372730694
Australia,AUS,0.002817903431411403
Austria,AUT,0.0009267071482549598
Azerbaijan,AZE,0.00020905177637093865
Bahamas,BHS,0.001770936297589445
Bahrain,BHR,0.0001597814723842795
Bangladesh,BGD,0.00010941989209615455
Barbados,BRB,0.00018091803205306275
Belarus,BLR,0.0003891344935254517
Belgium,BEL,0.0010124818610433304
Belize,BLZ,8.267205780512402e-05
Benin,BEN,0.00027643637010926167
Bermuda,BMU,0.0012226460283492728
Bhutan,BTN,5.112144819217262e-05
Bosnia and Herzegovina,BIH,0.0005897706673902295
Botswana,BWA,0.00010178677702135274
Brazil,BRA,0.00012852328314214234
Bulgaria,BGR,0.0035134579895883655
Burkina Faso,BFA,3.1570561431214396e-05
Burundi,BDI,3.1017859704971733e-05
Cambodia,KHM,0.00026866296842721204
Cameroon,CMR,0.0003801780032176253
Canada,CAN,0.0012206996923815737
Caribbean,CAR ,0.0006487158593777125
Central African Republic,CAF,9.329773072359747e-05
Central Asia,CA,0.0001647818708040131
Chad,TCD,4.6147873222284666e-05
Chile,CHL,0.00016288428539085068
China,CHN,0.0009995695873339456
Colombia,COL,9.39780856853304e-05
Comoros,COM,5.262916994825213e-05
Congo,COG,0.0003747145242073065
Costa Rica,CRI,0.00010815000463559952
Croatia,HRV,0.0006547737529926693
Cuba,CUB,0.00043802264730781454
Cyprus,CYP,0.0003416746341437783
Denmark,DNK,0.0015120615577909342
Djibouti,DJI,3.8374575253508445e-05
Dominica,DMA,0.00029117221579128515
Dominican Republic,DOM,8.097507991923863e-05
Eastern Europe,EE,0.0023299821119711246
Ecuador,ECU,0.00015218496383672856
Egypt,EGY,9.436095673083695e-05
El Salvador,SLV,8.920431980838574e-05
Equatorial Guinea,GNQ,9.109448259545175e-05
Eritrea,ERI,6.087673825009699e-05
Estonia,EST,0.0016432726176973166
