Country,Data.Smokers.Total,PopTotal,Smokers_Per_Capita
Afghanistan,1544143.8461538462,26532048.916666668,0.05819919339828518
Albania,456934.76923076925,2804244.75,0.16294396886390505
Algeria,3130391.6153846155,29233630.416666668,0.10708186327757355
Andorra,16913.0,61529.916666666664,0.27487441745817415
Angola,793861.8461538461,17342915.0,0.045774418323208416
Antigua and Barbuda,2079.6153846153848,70303.83333333333,0.029580398194722215
Argentina,6380044.0,36607994.5,0.17428007426082848
Armenia,617295.3846153846,2950774.25,0.20919776720139965
Australia,3070443.3846153845,19173315.75,0.16014149167784839
Austria,2091500.7692307692,7042523.166666667,0.296981737899019
Azerbaijan,1359270.923076923,8056888.333333333,0.16870916746522155
Bahamas,25215.76923076923,279293.5,0.09028412487497643
Bahrain,124393.30769230769,896167.1666666666,0.13880591960872
Bangladesh,21898698.384615384,141253759.33333334,0.1550309067027265
Barbados,13604.846153846154,257434.0,0.05284789947654993
Belarus,2130206.769230769,9545968.833333334,0.22315249572074364
Belgium,2260874.3846153845,9850930.916666666,0.22950870366883191
Belize,15393.461538461539,295812.0833333333,0.05203797412533533
Benin,371105.6153846154,7124650.083333333,0.05208755672825832
Bhutan,47663.38461538462,610216.9166666666,0.07810892047330921
Bosnia and Herzegovina,1050603.0,3733054.1666666665,0.28143256247956044
Botswana,162967.0,1858405.9166666667,0.08769182154365181
Brazil,20756109.307692308,188783878.33333334,0.10994640798216627
Bulgaria,2380843.769230769,5807193.5,0.4099818215512827
Burkina Faso,817168.3076923077,14126268.666666666,0.05784742786469547
Burundi,571885.7692307692,7221845.833333333,0.07918831036120419
Cambodia,1774105.8461538462,13584025.75,0.13060236183326185
Cameroon,760033.7692307692,17372795.5,0.04374850145624343
Canada,4495699.384615385,28082673.25,0.16008801386511112
Central African Republic,197541.38461538462,3828161.3333333335,0.051602157645581105
Chad,372081.53846153844,9911030.333333334,0.037542165238878634
Chile,3750594.230769231,16451956.666666666,0.22797253279716664
China,260867567.92307693,1038611572.5833334,0.25116951785374614
Colombia,3534928.923076923,43353623.416666664,0.08153710450227261
